iter	Passed	Remaining
0	187	56130
1	372	55476
2	552	54688
3	736	54533
4	932	54988
5	1125	55135
6	1320	55291
7	1508	55071
8	1695	54824
9	1900	55121
10	2168	56971
11	2352	56456
12	2565	56630
13	2739	55965
14	2957	56199
15	3144	55807
16	3343	55656
17	3527	55260
18	3712	54905
19	3936	55106
20	4126	54829
21	4305	54402
22	4468	53817
23	4651	53488
24	4831	53149
25	5007	52770
26	5210	52688
27	5420	52655
28	5644	52743
29	5813	52320
30	5982	51913
31	6182	51781
32	6375	51584
33	6552	51263
34	6724	50914
35	6900	50602
36	7124	50643
37	7326	50517
38	7503	50215
39	7730	50247
40	7943	50182
41	8129	49939
42	8351	49913
43	8531	49635
44	8692	49258
45	8868	48969
46	9029	48606
47	9287	48757
48	9461	48464
49	9687	48438
50	9967	48665
51	10160	48456
52	10323	48112
53	10499	47829
54	10661	47491
55	10840	47233
56	10995	46876
57	11192	46699
58	11362	46413
59	11518	46074
60	11673	45736
61	11836	45435
62	12015	45200
63	12280	45285
64	12436	44962
65	12607	44698
66	12758	44369
67	12950	44184
68	13169	44088
69	13304	43715
70	13501	43548
71	13712	43422
72	13880	43163
73	14033	42859
74	14275	42825
75	14489	42706
76	14644	42410
77	14806	42140
78	14982	41913
79	15152	41669
80	15327	41441
81	15493	41190
82	15720	41100
83	15887	40853
84	16118	40770
85	16288	40531
86	16461	40301
87	16606	40006
88	16767	39753
89	16922	39484
90	17103	39282
91	17303	39121
92	17473	38892
93	17602	38574
94	17755	38313
95	17946	38135
96	18112	37906
97	18315	37751
98	18484	37529
99	18682	37364
100	18832	37105
101	19010	36902
102	19201	36724
103	19366	36498
104	19539	36286
105	19730	36110
106	19921	35932
107	20069	35678
108	20237	35461
109	20388	35216
110	20584	35049
111	20713	34768
112	20879	34552
113	21040	34329
114	21170	34056
115	21359	33880
116	21532	33678
117	21683	33444
118	21854	33241
119	22056	33085
120	22216	32866
121	22382	32656
122	22599	32520
123	22750	32291
124	22870	32018
125	23053	31835
126	23222	31634
127	23370	31404
128	23550	31218
129	23745	31052
130	23890	30821
131	24018	30569
132	24149	30322
133	24315	30122
134	24501	29946
135	24704	29791
136	24860	29578
137	25014	29364
138	25184	29170
139	25333	28952
140	25502	28758
141	25704	28600
142	25880	28414
143	26082	28255
144	26214	28022
145	26361	27805
146	26495	27577
147	26678	27399
148	26813	27173
149	27045	27045
150	27204	26844
151	27414	26692
152	27570	26489
153	27744	26303
154	27891	26091
155	28041	25884
156	28211	25696
157	28405	25529
158	28550	25318
159	28733	25141
160	28871	24926
161	29053	24749
162	29198	24540
163	29347	24337
164	29487	24125
165	29662	23944
166	29824	23752
167	30020	23587
168	30230	23433
169	30418	23261
170	30588	23075
171	30726	22866
172	30870	22662
173	31019	22462
174	31177	22269
175	31360	22094
176	31525	21907
177	31732	21749
178	31908	21569
179	32070	21380
180	32239	21196
181	32365	20984
182	32586	20833
183	32774	20661
184	32935	20473
185	33068	20267
186	33236	20084
187	33395	19895
188	33566	19713
189	33705	19513
190	33883	19336
191	34081	19170
192	34223	18973
193	34369	18779
194	34500	18577
195	34662	18392
196	34842	18217
197	35045	18053
198	35191	17860
199	35369	17684
200	35518	17494
201	35652	17296
202	35798	17105
203	35968	16926
204	36101	16729
205	36267	16549
206	36416	16361
207	36618	16196
208	36807	16026
209	36987	15851
210	37193	15688
211	37375	15514
212	37559	15341
213	37783	15184
214	37930	14995
215	38092	14813
216	38231	14623
217	38376	14435
218	38547	14257
219	38773	14099
220	38912	13910
221	39088	13733
222	39259	13556
223	39415	13373
224	39564	13188
225	39729	13008
226	39897	12830
227	40016	12636
228	40160	12451
229	40308	12267
230	40463	12086
231	40619	11905
232	40800	11732
233	40976	11557
234	41137	11378
235	41308	11202
236	41463	11021
237	41610	10839
238	41807	10670
239	41960	10490
240	42138	10316
241	42351	10150
242	42493	9967
243	42673	9793
244	42841	9617
245	43027	9445
246	43172	9263
247	43318	9082
248	43454	8900
249	43596	8719
250	43778	8546
251	43976	8376
252	44115	8195
253	44280	8019
254	44424	7839
255	44600	7665
256	44773	7491
257	44939	7315
258	45103	7139
259	45311	6971
260	45447	6791
261	45611	6615
262	45779	6440
263	45969	6268
264	46115	6090
265	46258	5912
266	46391	5733
267	46524	5555
268	46757	5388
269	46930	5214
270	47123	5042
271	47304	4869
272	47458	4693
273	47636	4520
274	47850	4350
275	47993	4173
276	48155	3998
277	48325	3824
278	48497	3650
279	48673	3476
280	48872	3304
281	49040	3130
282	49234	2957
283	49398	2782
284	49511	2605
285	49674	2431
286	49830	2257
287	50015	2083
288	50182	1910
289	50370	1736
290	50526	1562
291	50694	1388
292	50867	1215
293	51063	1042
294	51253	868
295	51458	695
296	51653	521
297	51837	347
298	51958	173
299	52148	0
